Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Category
2018,237011,Western Washington University,380200,1,Bellingham Campus,16121,0,0,0,1,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2018,237057,Whitman College,380300,1,Whitman College,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2019,235316,Gonzaga University,377800,1,Main Campus,7537,0,0,0,0,0,0,0,0,1,1,0,1,0,Public property criminal offenses
2019,236595,Seattle University,379000,1,Main Campus,7199,0,0,0,0,1,0,0,0,3,3,0,9,0,Public property criminal offenses
2019,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47576,0,0,0,0,0,0,0,0,0,0,0,0,1,Public property criminal offenses
2019,236939,Washington State University,380000,1,Pullman Campus,31607,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2019,237011,Western Washington University,380200,1,Bellingham Campus,16142,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2019,237057,Whitman College,380300,1,Whitman College,1579,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2020,235316,Gonzaga University,377800,1,Main Campus,7295,0,0,0,0,0,0,0,0,0,2,0,2,0,Public property criminal offenses
2020,236595,Seattle University,379000,1,Main Campus,7050,0,0,0,0,0,0,0,0,0,0,0,10,0,Public property criminal offenses
2020,236948,University of Washington-Seattle Campus,379800,1,Main Campus,48149,0,0,0,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2020,236939,Washington State University,380000,1,Pullman Campus,31159,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2020,237057,Whitman College,380300,1,Whitman College,1360,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2021,235316,Gonzaga University,377800,1,Main Campus,7381,0,0,0,0,0,0,0,0,0,0,0,2,2,Public property criminal offenses
