Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations,Category
2005,235316,Gonzaga University,377800,1,Main Campus,6377,1,8,605,On-campus discipline
2005,236595,Seattle University,379000,1,Main Campus,7109,0,30,268,On-campus discipline
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,36,313,On-campus discipline
2005,236939,Washington State University,380000,1,Pullman Campus,23544,7,82,674,On-campus discipline
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,3,80,525,On-campus discipline
2005,237057,Whitman College,380300,1,Whitman College,1512,0,11,5,On-campus discipline
2006,235316,Gonzaga University,377800,1,Main Campus,6607,3,25,482,On-campus discipline
2006,236595,Seattle University,379000,1,Main Campus,7226,0,28,229,On-campus discipline
2006,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39524,0,38,371,On-campus discipline
2006,236939,Washington State University,380000,1,Pullman Campus,23655,12,115,580,On-campus discipline
2006,237011,Western Washington University,380200,1,Bellingham Campus,14035,7,84,466,On-campus discipline
2006,237057,Whitman College,380300,1,Whitman College,1455,0,6,5,On-campus discipline
2007,235316,Gonzaga University,377800,1,Main Campus,6873,0,12,335,On-campus discipline
2007,236595,Seattle University,379000,1,Main Campus,7529,0,21,232,On-campus discipline
2007,236948,University of Washington-Seattle Campus,379800,1,Main Campus,40218,0,57,375,On-campus discipline
2007,236939,Washington State University,380000,1,Pullman Campus,24396,11,156,836,On-campus discipline
2007,237011,Western Washington University,380200,1,Bellingham Campus,14276,7,98,655,On-campus discipline
2007,237057,Whitman College,380300,1,Whitman College,1489,0,14,32,On-campus discipline
2008,235316,Gonzaga University,377800,1,Main Campus,7272,2,11,379,On-campus discipline
2008,236595,Seattle University,379000,1,Main Campus,7560,6,24,163,On-campus discipline
2008,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39675,0,75,289,On-campus discipline
2008,236939,Washington State University,380000,1,Pullman Campus,25352,3,59,808,On-campus discipline
2008,237011,Western Washington University,380200,1,Bellingham Campus,14620,2,268,401,On-campus discipline
2008,237057,Whitman College,380300,1,Whitman College,1458,0,7,24,On-campus discipline
2009,235316,Gonzaga University,377800,1,Main Campus,7633,0,47,754,On-campus discipline
2009,236595,Seattle University,379000,1,Main Campus,7751,1,28,125,On-campus discipline
2009,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45943,2,79,405,On-campus discipline
2009,236939,Washington State University,380000,1,Pullman Campus,26101,4,45,808,On-campus discipline
2009,237011,Western Washington University,380200,1,Bellingham Campus,14575,0,133,340,On-campus discipline
2009,237057,Whitman College,380300,1,Whitman College,1515,0,30,25,On-campus discipline
2010,235316,Gonzaga University,377800,1,Main Campus,7738,0,71,523,On-campus discipline
2010,236595,Seattle University,379000,1,Main Campus,7817,0,37,173,On-campus discipline
2010,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42451,1,76,327,On-campus discipline
2010,236939,Washington State University,380000,1,Pullman Campus,26308,4,213,639,On-campus discipline
2010,237011,Western Washington University,380200,1,Bellingham Campus,14979,0,83,242,On-campus discipline
2010,237057,Whitman College,380300,1,Whitman College,1555,0,17,26,On-campus discipline
2011,235316,Gonzaga University,377800,1,Main Campus,7764,0,75,690,On-campus discipline
2011,236595,Seattle University,379000,1,Main Campus,7755,2,60,278,On-campus discipline
2011,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42444,0,185,473,On-campus discipline
2011,236939,Washington State University,380000,1,Pullman Campus,27329,5,194,804,On-campus discipline
2011,237011,Western Washington University,380200,1,Bellingham Campus,14842,0,170,248,On-campus discipline
2011,237057,Whitman College,380300,1,Whitman College,1596,0,10,12,On-campus discipline
2012,235316,Gonzaga University,377800,1,Main Campus,7781,0,34,517,On-campus discipline
2012,236595,Seattle University,379000,1,Main Campus,7484,0,99,105,On-campus discipline
2012,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43485,3,187,539,On-campus discipline
2012,236939,Washington State University,380000,1,Pullman Campus,27679,0,190,863,On-campus discipline
2012,237011,Western Washington University,380200,1,Bellingham Campus,14833,0,204,413,On-campus discipline
2012,237057,Whitman College,380300,1,Whitman College,1539,1,55,36,On-campus discipline
2013,235316,Gonzaga University,377800,1,Main Campus,7605,5,45,699,On-campus discipline
2013,236595,Seattle University,379000,1,Main Campus,7422,0,139,205,On-campus discipline
2013,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43762,1,259,620,On-campus discipline
2013,236939,Washington State University,380000,1,Pullman Campus,27642,2,117,442,On-campus discipline
2013,237011,Western Washington University,380200,1,Bellingham Campus,14950,0,181,331,On-campus discipline
2013,237057,Whitman College,380300,1,Whitman College,1541,0,31,29,On-campus discipline
2014,235316,Gonzaga University,377800,1,Main Campus,7352,1,63,764,On-campus discipline
2014,236595,Seattle University,379000,1,Main Campus,7273,0,68,143,On-campus discipline
2014,236948,University of Washington-Seattle Campus,379800,1,Main Campus,44784,0,145,593,On-campus discipline
2014,236939,Washington State University,380000,1,Pullman Campus,28686,2,318,299,On-campus discipline
2014,237011,Western Washington University,380200,1,Bellingham Campus,15060,1,235,387,On-campus discipline
2014,237057,Whitman College,380300,1,Whitman College,1498,0,52,49,On-campus discipline
