Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Category
2020,236939,Washington State University,380000,1,Pullman Campus,31159,2,1,11,On-campus vaw
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,0,0,1,On-campus vaw
2020,237057,Whitman College,380300,1,Whitman College,1360,0,2,1,On-campus vaw
2021,235316,Gonzaga University,377800,1,Main Campus,7381,0,1,3,On-campus vaw
2021,236595,Seattle University,379000,1,Main Campus,7268,0,2,1,On-campus vaw
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,5,8,52,On-campus vaw
2021,236939,Washington State University,380000,1,Pullman Campus,29843,6,10,12,On-campus vaw
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,1,1,2,On-campus vaw
2021,237057,Whitman College,380300,1,Whitman College,1559,0,0,2,On-campus vaw
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,5,15,On-campus vaw
2022,236595,Seattle University,379000,1,Main Campus,7121,6,1,2,On-campus vaw
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,6,9,45,On-campus vaw
2022,236939,Washington State University,380000,1,Pullman Campus,27539,3,3,11,On-campus vaw
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,33,0,3,On-campus vaw
2022,237057,Whitman College,380300,1,Whitman College,1493,0,1,1,On-campus vaw
2014,235316,Gonzaga University,377800,1,Main Campus,7352,5,1,2,On-campus housing vaw
2014,236595,Seattle University,379000,1,Main Campus,7273,0,3,0,On-campus housing vaw
2014,236948,University of Washington-Seattle Campus,379800,1,Main Campus,44784,8,0,2,On-campus housing vaw
2014,236939,Washington State University,380000,1,Pullman Campus,28686,9,0,5,On-campus housing vaw
2014,237011,Western Washington University,380200,1,Bellingham Campus,15060,1,1,2,On-campus housing vaw
2014,237057,Whitman College,380300,1,Whitman College,1498,0,0,0,On-campus housing vaw
2015,235316,Gonzaga University,377800,1,Main Campus,7491,1,1,0,On-campus housing vaw
2015,236595,Seattle University,379000,1,Main Campus,7405,0,6,0,On-campus housing vaw
2015,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45408,21,1,3,On-campus housing vaw
2015,236939,Washington State University,380000,1,Pullman Campus,29686,1,6,5,On-campus housing vaw
2015,237011,Western Washington University,380200,1,Bellingham Campus,15332,0,1,3,On-campus housing vaw
2015,237057,Whitman College,380300,1,Whitman College,1470,0,1,0,On-campus housing vaw
2016,235316,Gonzaga University,377800,1,Main Campus,7567,0,2,1,On-campus housing vaw
2016,236595,Seattle University,379000,1,Main Campus,7487,0,2,1,On-campus housing vaw
2016,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45591,4,0,4,On-campus housing vaw
2016,236939,Washington State University,380000,1,Pullman Campus,30142,3,4,6,On-campus housing vaw
2016,237011,Western Washington University,380200,1,Bellingham Campus,15574,1,0,3,On-campus housing vaw
2016,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,On-campus housing vaw
2017,235316,Gonzaga University,377800,1,Main Campus,7506,1,6,0,On-campus housing vaw
2017,236595,Seattle University,379000,1,Main Campus,7278,0,2,2,On-campus housing vaw
2017,236948,University of Washington-Seattle Campus,379800,1,Main Campus,46166,3,0,4,On-campus housing vaw
2017,236939,Washington State University,380000,1,Pullman Campus,30614,6,1,7,On-campus housing vaw
2017,237011,Western Washington University,380200,1,Bellingham Campus,15915,3,1,4,On-campus housing vaw
2017,237057,Whitman College,380300,1,Whitman College,1510,0,0,0,On-campus housing vaw
2018,235316,Gonzaga University,377800,1,Main Campus,7563,0,2,1,On-campus housing vaw
2018,236595,Seattle University,379000,1,Main Campus,7291,0,20,2,On-campus housing vaw
2018,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47400,1,1,8,On-campus housing vaw
2018,236939,Washington State University,380000,1,Pullman Campus,31478,3,14,2,On-campus housing vaw
2018,237011,Western Washington University,380200,1,Bellingham Campus,16121,2,0,2,On-campus housing vaw
2018,237057,Whitman College,380300,1,Whitman College,1475,0,1,1,On-campus housing vaw
2019,235316,Gonzaga University,377800,1,Main Campus,7537,0,1,2,On-campus housing vaw
2019,236595,Seattle University,379000,1,Main Campus,7199,0,8,0,On-campus housing vaw
2019,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47576,6,8,5,On-campus housing vaw
2019,236939,Washington State University,380000,1,Pullman Campus,31607,3,6,11,On-campus housing vaw
2019,237011,Western Washington University,380200,1,Bellingham Campus,16142,2,1,5,On-campus housing vaw
2019,237057,Whitman College,380300,1,Whitman College,1579,1,1,1,On-campus housing vaw
2020,235316,Gonzaga University,377800,1,Main Campus,7295,0,0,1,On-campus housing vaw
2020,236595,Seattle University,379000,1,Main Campus,7050,0,0,0,On-campus housing vaw
2020,236948,University of Washington-Seattle Campus,379800,1,Main Campus,48149,9,0,6,On-campus housing vaw
2020,236939,Washington State University,380000,1,Pullman Campus,31159,1,0,5,On-campus housing vaw
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,0,0,0,On-campus housing vaw
2020,237057,Whitman College,380300,1,Whitman College,1360,0,2,0,On-campus housing vaw
2021,235316,Gonzaga University,377800,1,Main Campus,7381,0,1,2,On-campus housing vaw
2021,236595,Seattle University,379000,1,Main Campus,7268,0,1,0,On-campus housing vaw
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,5,4,14,On-campus housing vaw
2021,236939,Washington State University,380000,1,Pullman Campus,29843,4,6,3,On-campus housing vaw
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,1,1,1,On-campus housing vaw
2021,237057,Whitman College,380300,1,Whitman College,1559,0,0,0,On-campus housing vaw
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,5,10,On-campus housing vaw
2022,236595,Seattle University,379000,1,Main Campus,7121,3,1,2,On-campus housing vaw
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,1,3,10,On-campus housing vaw
2022,236939,Washington State University,380000,1,Pullman Campus,27539,2,3,6,On-campus housing vaw
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,31,0,2,On-campus housing vaw
2022,237057,Whitman College,380300,1,Whitman College,1493,0,1,1,On-campus housing vaw
